Entity,Code,Year,co-emissions-per-capita,gdp-per-capita-worldbank,live-expectancy,long-run-air-pollution,total-healthcare-expenditure-gdp,unemployement-rate,co-emissions-per-capita_normalized,gdp-per-capita-worldbank_normalized,live-expectancy_normalized,long-run-air-pollution_normalized,total-healthcare-expenditure-gdp_normalized,unemployement-rate_normalized,social_score,environmental_score,economic_score,sustainability_index
Curacao,CUW,2024.0,12.344206,27675.572,76.7996,138315.97,,,70.48007292810323,21.170624108819293,70.3007135671778,99.34758203274077,,,70.3007135671778,84.913827480422,21.170624108819293,58.795055052139695
Cyprus,CYP,2024.0,5.373922,53252.46,81.648,31550.178,8.87061,5.602,87.22208820594014,40.39203739821608,85.34270967499317,99.85118202187769,33.826703569123225,84.18264573729357,59.5847066220582,93.53663511390891,62.28734156775482,71.80289443457399
Czechia,CZE,2024.0,7.043965,47961.81,79.8341,148566.81,8.79905,2.506,83.21079032759765,36.41603491427249,79.7151466150216,99.2992301888033,33.49363930967269,93.12540117873607,56.60439296234714,91.25501025820049,64.77071804650427,70.8767070890173
Democratic Republic of Congo,COD,2024.0,0.05403233,1504.1438,61.895,82418.01,3.78615,4.556,100.0,1.5024049804415904,24.059698966784822,99.61124524847166,10.16192010621288,87.20400303437007,17.110809536498852,99.80562262423584,44.353204007405836,53.75654538938017
Denmark,DNK,2024.0,4.746057,73709.0,81.9328,111132.54,9.47586,5.587,88.73016526885738,55.76543269990709,86.22629198905676,99.47580264344634,36.64374022413212,84.22597304078894,61.43501610659444,94.10298395615186,69.99570287034801,75.17790097769812
Djibouti,DJI,2024.0,0.48264864,6841.1665,65.9865,16260.16,2.49675,25.875,98.97050094223563,5.513257240950858,36.75343856647271,99.92330299578198,4.1606197130390505,25.62435081986345,20.457029139755882,99.4469019690088,15.568804030407154,45.15757837972395
Dominica,DMA,2024.0,2.5799234,18739.363,71.1325,1909.8628,6.3197,,93.93302957467847,14.454929594716276,52.718728553028654,99.99099143211214,21.95391220418523,,37.33632037860694,96.9620105033953,14.454929594716276,49.58442015890617
Dominican Republic,DOM,2024.0,2.8992038,24229.469,73.7201,218351.72,4.57255,5.473,93.16614585305194,18.580826241274572,60.74666954976638,98.97006408363433,13.822089665071182,84.55526054735368,37.284379607418785,96.06810496834314,51.56804339431413,61.64017599002536
East Timor,TLS,2024.0,0.47700548,4186.215,67.6894,4998.838,14.32455,1.603,98.98405532121578,3.518021540469863,42.03662790151083,99.97642114842836,59.21117096973318,95.7337048491568,50.62389943562201,99.48023823482207,49.62586319481333,66.5766669550858
Ecuador,ECU,2024.0,2.535337,13935.539,77.3924,341154.8,7.53457,4.773,94.04012222542036,10.844784119882775,72.13985540628201,98.39081834775313,27.60832496101406,86.57720137713719,49.874090183648036,96.21547028658674,48.71099274850998,64.93351773958159
Egypt,EGY,2024.0,2.2170217,16798.152,71.6335,880079.44,4.70438,7.198,94.80468786087643,12.996080538766886,54.27306401421493,95.84878275970996,14.435670734430655,79.57262064538718,34.35436737432279,95.3267353102932,46.28435059207703,58.655151092231016
El Salvador,SLV,2024.0,1.4155904,11669.082,72.0993,62838.598,9.8408,2.839,96.72965606428632,9.141507837809428,55.71819267253941,99.70359872130037,38.34229347795937,92.16353504113906,47.03024307524939,98.21662739279334,50.65252143947424,65.29979730250567
Equatorial Guinea,GNQ,2024.0,3.704236,15454.429,63.7071,23409.768,2.9135,7.823,91.23252860136597,11.986252637519943,29.68167758797371,99.88957924921779,6.1003140971364544,77.76731633308047,17.890995842555082,95.56105392529187,44.876784485300206,52.77627808438239
Eritrea,ERI,2024.0,0.21004777,,68.6239,17145.137,3.87448,5.553,99.62526449710536,,44.935882369531924,99.91912867740493,10.57303757459278,84.32418159537842,27.754459972062353,99.77219658725514,84.32418159537842,70.61694605156531
Estonia,EST,2024.0,6.105464,41546.12,79.1535,42446.867,6.98701,7.828,85.46498801599388,31.594548069326773,77.60360826196093,99.79978379441894,25.059796929924975,77.75287389858201,51.33170259594295,92.6323859052064,54.67371098395439,66.21259982836791
Eswatini,SWZ,2024.0,0.8405372,10367.269,64.1227,10763.91,7.22266,34.4,98.11088378183254,8.163175927433564,30.971062453580515,99.94922807336013,26.1565911269557,1.0,28.56382679026811,99.03005592759634,4.581587963716782,44.058490227193744
Ethiopia,ETH,2024.0,0.13506985,2884.2646,67.315,242659.48,2.85275,3.398,99.80535493275195,2.53958637194211,40.87506463470813,98.85540762445738,5.817563206113258,90.54887086421193,23.346313920410694,99.33038127860468,46.54422861807702,56.406974605697464
Falkland Islands,,,,,79.2132,643.9917,,,,,77.78882548158734,99.99696237711491,,,77.78882548158734,99.99696237711491,,88.89289392935112
Faroe Islands,FRO,2024.0,13.089157,70428.96,80.1792,21.694094,,,68.69076548765462,53.30043365679626,80.78580762830576,99.99989767185446,,,80.78580762830576,84.34533157975454,53.30043365679626,72.81052428828552
Fiji,FJI,2024.0,1.5561111,14104.443,67.3157,20981.951,4.0091,4.307,96.39213757777237,10.97171799824328,40.877236360901435,99.90103093792746,11.199604240428874,87.92323627239307,26.038420300665155,98.14658425784992,49.447477135318174,57.87749389794442
Finland,FIN,2024.0,5.300579,55628.68,81.9102,125339.12,9.65892,8.26,87.39825170609629,42.17780221395639,86.15617625767392,99.40879210196437,37.49576290908202,76.50504755791562,61.82596958337797,93.40352190403033,59.34142488593601,71.52363879111476
France,FRA,2024.0,3.969368,54464.98,83.3253,820687.7,11.8819,7.37,90.59570462193508,41.30326428561769,90.54647588067728,96.1289256693305,47.84225798277331,79.07580089864037,69.1943669317253,93.36231514563279,60.18953259212903,74.24873822316238
French Guiana,,,,,76.9781,8093.704,,,,,70.85450374646271,99.9618230786273,,,70.85450374646271,99.9618230786273,,85.40816341254501
French Polynesia,PYF,2024.0,3.2747147,,84.0698,7922.655,,11.75,92.2642013663145,,92.85626181052395,99.96262989392768,,66.42422827799498,92.85626181052395,96.1134156301211,66.42422827799498,85.13130190621335
Gabon,GAB,2024.0,2.126386,18923.09,68.3367,51340.74,2.85592,20.061,95.02238692078811,14.593003178938915,44.04485413709138,99.75783258268453,5.832317450138665,42.418013654665344,24.938585793615022,97.39010975173632,28.50550841680213,50.278067987384496
Gambia,GMB,2024.0,0.29086024,3030.974,65.8603,9139.489,3.55907,6.496,99.43115998036261,2.64984067695527,36.36190735848523,99.95689025037986,9.105013565742961,81.60033844897006,22.733460462114095,99.69402511537123,42.125089562962664,54.85085838014933
Georgia,GEO,2024.0,3.0948753,25000.633,74.4965,47975.848,7.2557,11.48,92.69615994681953,19.160367503601105,63.15542414470653,99.77370432908292,26.310370376987084,67.20411974091147,44.732897260846805,96.23493213795123,43.18224362225629,61.38335767368478
Germany,DEU,2024.0,6.7688236,62829.797,81.3777,986641.6,12.60513,3.406,83.87165601432798,47.589549178727914,84.50411311779031,95.34614327553504,51.20841315832405,90.52576296901441,67.85626313805719,89.60889964493151,69.05765607387116,75.50760628561996
Ghana,GHA,2024.0,0.6106143,7061.934,65.4979,132088.42,3.69936,3.007,98.6631385686568,5.679167314074958,35.23757368356728,99.3769565548007,9.75797031474122,91.67826924199102,22.49777199915425,99.02004756172875,48.67871827803299,56.732179279638665
Gibraltar,,,,,83.553,333826.66,,,,,91.25290738668947,98.42538420592982,,,91.25290738668947,98.42538420592982,,94.83914579630965
Greece,GRC,2024.0,5.310692,37752.633,81.8568,349501.3,8.49984,10.133,87.37396116061711,28.74368593805599,85.990504573787,98.35144902139314,32.10101553842907,71.0949115947949,59.04576005610804,92.86270509100513,49.91929876642544,67.27592130451286
Greenland,GRL,2024.0,11.079819,71037.54,70.055,12.537155,,,73.51702041418821,53.75779061514322,49.37582144838157,99.9999408639134,,,49.37582144838157,86.7584806390508,53.75779061514322,63.29736423419187
Grenada,GRD,2024.0,3.2159822,17742.176,75.2052,3422.0989,4.94846,,92.40527171758075,13.705528672531615,65.35414179209718,99.98385841629063,15.571700981030524,,40.46292138656385,96.1945650669357,13.705528672531615,50.12100504201038
Guadeloupe,,,,,82.0503,25272.496,,,,,86.59083174292776,99.8807930098897,,,86.59083174292776,99.8807930098897,,93.23581237640873
Guam,,,,,77.2093,0.0,,5.586,,,71.57179388344129,100.0,,84.22886152768862,71.57179388344129,100.0,84.22886152768862,85.2668851370433
Guatemala,GTM,2024.0,1.0800844,12640.887,72.6023,214867.83,7.44099,2.219,97.53551226437887,9.871833807947088,57.27873306570647,98.98649712771416,27.17277223044697,93.95439691894731,42.22575264807672,98.26100469604651,51.9131153634472,64.13329090252348
Guernsey,,,,,83.2744,,,,,,90.38856036176634,,,,90.38856036176634,,,90.38856036176634
Guinea,GIN,2024.0,0.27287328,4028.4834,60.7405,56241.582,3.95848,5.23,99.47436309219017,3.3994838875545508,20.477901980877522,99.7347159651638,10.964001769587819,85.25716286397852,15.720951875232672,99.60453952867698,44.32832337576654,53.217938259892065
Guinea-Bissau,GNB,2024.0,0.15544437,2685.6174,64.0849,9085.632,8.11358,2.622,99.75641710968497,2.3903000346057826,30.853789239143737,99.9571442866597,30.30323184844355,92.79033669837195,30.57851054379364,99.85678069817234,47.590318366488866,59.34186986948495
Guyana,GUY,2024.0,5.4269924,70297.41,70.1802,38237.35,3.00637,10.165,87.09461772588496,53.201571867268925,49.7642501903786,99.81963952419682,6.5325622493887066,71.00248001400479,28.14840621988365,93.4571286250409,62.10202594063686,61.23585359518714
Haiti,HTI,2024.0,0.2523404,2800.6611,64.9356,49732.7,3.20849,15.058,99.52368128218903,2.4767570931830956,33.49305705716997,99.76541749271387,7.473296571917242,56.86911361381805,20.483176814543604,99.64454938745145,29.672935353500574,49.933553851831874
Honduras,HND,2024.0,1.187437,6585.8555,72.8842,134444.98,8.2821,6.061,97.27766066617778,5.32138721171473,58.15331822839793,99.36584097584822,31.087580492974062,82.85683025033553,44.620449360685996,98.321750821013,44.089108731025135,62.3437696375747
Hong Kong,HKG,2024.0,4.4941745,66171.36,85.5106,677510.1,,2.793,89.33516510289854,50.10078367510436,97.32629480948037,96.8042752963407,,92.29640543852483,97.32629480948037,93.06972019961962,71.1985945568146,87.1982031886382
Hungary,HUN,2024.0,4.135669,40702.152,77.024,93676.29,6.68982,4.434,90.19626409946576,30.96029351376764,70.9969069354217,99.55814144453322,23.676574916703842,87.55639843613234,47.336740926062774,94.87720277199949,59.25834597494999,67.15742989100409
Iceland,ISL,2024.0,9.666935,65645.09,82.6911,22292.537,9.28594,3.107,76.91064476490496,49.70528391094967,88.57889194957085,99.89484907871021,35.75978879659095,91.38942055202195,62.1693403730809,88.40274692180759,70.5473522314858,73.70647984212476
India,IND,2024.0,2.2009783,9817.071,72.0026,9561570.0,3.30588,4.202,94.84322271080627,7.7496939139454675,55.41818421126854,54.89935064470989,7.926582321328752,88.22652739686059,31.672383266298645,74.87128667775808,47.98811065540303,51.51059353315325
Indonesia,IDN,2024.0,2.8650963,14470.4375,71.1457,5514453.5,2.69395,3.3,93.24806909837291,11.246768330642833,52.75968110410185,73.98905894224983,5.078454704146449,90.83194258038164,28.91906790412415,83.61856402031137,51.039355455512236,54.525662459982584
Iran,IRN,2024.0,8.656227,16224.035,77.6545,1738130.2,5.34889,9.192,79.33827738036683,12.564623039579784,72.9530117423637,91.8014718624619,17.435436607243176,73.81297776740386,45.19422417480344,85.56987462141436,43.188800403491825,57.98429973323655
Iraq,IRQ,2024.0,5.074398,12725.043,72.3242,858060.75,4.29332,15.524,87.9415187749211,9.935078298706967,56.41593727377854,95.95264198125545,12.52245952020851,55.52307871856218,34.46919839699353,91.94708037808827,32.72907850863457,53.04845242790545
Ireland,IRL,2024.0,6.3388243,115337.164,82.4118,89993.6,6.11979,4.369,84.90447689365789,87.04961960813412,87.71237319845442,99.57551220167606,21.02346396345359,87.74415008461224,54.367918580954004,92.23999454766698,87.39688484637318,78.00159932499805
Isle of Man,,,,,80.999,,,,,,83.32920924722892,,,,83.32920924722892,,,83.32920924722892
Israel,ISR,2024.0,5.6074414,47338.844,82.408,425057.0,7.34162,3.15,86.6611949392567,35.94786666208941,87.70058382769093,97.99506287011322,26.710270896439145,91.26521561533524,57.20542736206504,92.32812890468496,63.60654113871232,71.0466991351541
Italy,ITA,2024.0,5.087886,53115.137,83.7157,748652.1,9.02753,6.778,87.90912177329713,40.288837112976545,91.75767860332621,96.46870797879411,34.5570619200592,80.78578514325729,63.157370261692705,92.18891487604563,60.53731112811691,71.96119875528508
Jamaica,JAM,2024.0,2.9592197,10259.995,71.4789,79289.99,7.77706,4.885,93.02199288672904,8.082557914436567,53.79342277210036,99.62599970126512,28.736954813922942,86.25369084437183,41.265188793011646,96.32399629399708,47.1681243794042,61.58576982213764
Japan,JPN,2024.0,7.7724743,46097.43,84.7123,2072215.6,11.42184,2.563,81.46097441899963,35.01492550219368,94.84959620935065,90.22563562634984,45.700984321470735,92.96075742545369,70.27529026541069,85.84330502267474,63.987841463823685,73.36881225063637
Jersey,,,,,79.7071,,,,,,79.32113343424182,,,,79.32113343424182,,,79.32113343424182
Jordan,JOR,2024.0,2.009813,9520.251,77.8145,100010.1,6.8282,17.996,95.30238511698546,7.52662925132667,73.44940630082638,99.52826570823751,24.320641884601617,48.382739102526706,48.885024092714,97.41532541261148,27.954684176926687,58.08501122741739
Kazakhstan,KAZ,2024.0,13.937352,35905.44,74.4021,928517.9,3.74027,4.794,66.65347494847646,27.355492813142565,62.862551355213576,95.62030500974105,9.948379186375114,86.51654315224368,36.405465270794345,81.13688997910876,56.93601798269312,58.15945774419874
Kenya,KEN,2024.0,0.37611777,5823.4077,63.6459,208068.83,4.32604,5.434,99.22637881652328,4.7483963038532515,29.491806669361736,99.01856710314358,12.674749382830388,84.66791153644162,21.08327802609606,99.12247295983343,44.70815392014744,54.97130163535898
